Category,Name,Image,Website,Offer,Details,Districts
Fast Food,KFC,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/KFC_Logo_Sep2018_White-01.jpg?itok=v99qiVou,http://www.diningdiscount.hk/en/restaurant/406,於KFC分店堂食/ 外賣單點家鄉雞/香辣脆雞/狂惹香燒雞9件七折,"- 此優惠不適用於KFC自助點餐、手機訂餐、好味速遞及好味速遞自取。
- 顧客於付款時需出示接種2019冠狀病毒病疫苗之認可記錄証明方可使用此優惠。
- 此優惠有效期由2021年7月15日至2021年8月31日，上午11時後適用。
- 此優惠只適用於有售賣家鄉雞/香辣脆雞/狂惹香燒雞之香港KFC店舖。貨品數量有限，售完即止。
- 此優惠不適用於KFC好味速遞及好味速遞自取。
- 此優惠以每發票計。
- 所有價格以店舖為準，食品供應以各店舖之訂定為準。
- 此優惠不適用於馬場、大球場及亞洲國際博覽館分店，適用本券之餐廳可隨時被更改，恕不另行通知。
- 產品圖片僅供參考。","['Central and Western', 'Eastern', 'Southern', 'Wan Chai', 'Sham Shui Po', 'Kowloon City', 'Kwun Tong', 'Wong Tai Sin', 'Yau Tsim Mong', 'Islands', 'Kwai Tsing', 'North', 'Sai Kung', 'Sha Tin', 'Tai Po', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Fast Food,PHD,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/PHD%20Logo_New_2020%20-2%20-%20PHD%20Ronald_0.png?itok=odH0ylsZ,http://www.diningdiscount.hk/en/restaurant/423,"This offer is applicable to in-store purchase of dine-in and takeaway
This offer cannot be used in conjunction with 20% off takeaway discount and other promotional offers","‧      Limited availability during the campaign period
‧      Applicable at Pizza Hut in Hong Kong only (except Park Circle store)
‧      Valid from Monday to Sunday
‧    Offers are eligible for vaccinated customers.
‧      Not valid for Gourmet Party Food, Birthday Party, Kid’s Fun Tour, Pizza Party, Wow Wed Promotion, Sharing 1+1 and Paid Coupon/Complimentary Coupon Purchase
‧      Applicable to Dine-in & Takeaway; “FREE selected regular pizza upon spending HK$280 or above” offer is for Takeaway only
‧     Not applicable to online & hotline ordering
‧      This offer is not applicable to be used in conjunction with other promotion offers including Pizza Card / Senior Citizen Card / Staff Card / JSA Member Card / Gold Member 10%off discount / Enjoy (group) Card / Hang Seng Card
‧      To enjoy the offer, please present the proof of your COVID-19 vaccination
‧      Products and props shown on photos are for reference only
‧      For campaign details, please contact our staff
‧      Pizza Hut Hong Kong reserve the right of final determination over utilization of offers
 ","['Central and Western', 'Eastern', 'Southern', 'Sham Shui Po', 'Kowloon City', 'Kwun Tong', 'Wong Tai Sin', 'Yau Tsim Mong', 'Kwai Tsing', 'North', 'Sai Kung', 'Sha Tin', 'Tai Po', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Hong Kong Style,Ngan Lung Catering Group,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/Ngan%20Lung%20logo%E9%80%8F%E6%98%8E%E5%BA%95-1.png?itok=1YLNpIJg,http://www.diningdiscount.hk/en/restaurant/61,套餐七折,"本優惠適用於已接種疫苗顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如有任何爭議，參與商戶保留最終決定權。 優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Central and Western', 'Wan Chai', 'Sham Shui Po', 'Kowloon City', 'Kwun Tong', 'Yau Tsim Mong', 'Kwai Tsing', 'North', 'Sha Tin', 'Tai Po', 'Tsuen Wan', 'Yuen Long']"
Hong Kong Style,Cha Yu Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-10/%E8%8C%B6%E9%AD%9A%E9%A3%AF%E5%90%8E%C2%90%C2%8ELogo.jpg.jpg?itok=vujHobBs,http://www.diningdiscount.hk/en/restaurant/112,套餐七折,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如有任何爭議，參與商戶保留最終決定權。 優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Sai Kung', 'Yuen Long']"
Hong Kong Style,桃園 / 木兆小品,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/logo%20-%20Marketing%20TOA.png?itok=AdCk67wQ,http://www.diningdiscount.hk/en/restaurant/320,指定小菜套餐七折 只適用晚市,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Eastern', 'Sham Shui Po', 'Kwun Tong', 'Wong Tai Sin', 'North', 'Sai Kung', 'Sha Tin', 'Tuen Mun', 'Yuen Long']"
Hong Kong Style,Lai Heung Yuen Cafe,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/logo-1.jpg?itok=w_9kg0H8,http://www.diningdiscount.hk/en/restaurant/95,"指定小菜套餐七折
只適用午市及晚市
只限堂食","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Eastern', 'Kwai Tsing', 'North']"
Hong Kong Style,San  Nam Yuen,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/LOGO_2020%20-%20Nam%20Yuen%20Sun.jpg?itok=nmhAX48_,http://www.diningdiscount.hk/en/restaurant/426,安格斯牛小排(原價$198)七折優惠予四人一枱，四人均已接種疫苗的顧客。,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Wan Chai', 'Yau Tsim Mong']"
Hong Kong Style,Kam Kee Cafe,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E9%87%91%E8%A8%98%E5%86%B0%E5%AE%A4_logo_green%20%281%29%20-%20Pak%20Wai%20So%20So.jpg?itok=Bjunub49,http://www.diningdiscount.hk/en/restaurant/94,"指定小菜套餐七折
只適用午市及晚市及只限堂食
 
 ","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Eastern', 'Southern', 'Wan Chai', 'Kowloon City', 'Kwun Tong', 'Wong Tai Sin', 'Sai Kung', 'Sha Tin', 'Tai Po', 'Tuen Mun', 'Yuen Long']"
Hong Kong Style, Taste Chiu Chow,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/B4_logo.png?itok=jGC6jd4z,http://www.diningdiscount.hk/en/restaurant/228, 套餐七折,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Wong Tai Sin']
Hong Kong Style,大發餐廳,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E5%A4%A7%E7%99%BC.jpeg?itok=re6v_0Fw,http://www.diningdiscount.hk/en/restaurant/243,指定食品7折,"本優惠適用於已接種疫苗之顧客。
優惠數量有限，先到先得。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。",['Tuen Mun']
